drug_index,canonical_smiles,mcf7_sig_id,mcf7_pert_dose,mcf7_max_dose_averaged_sig_id,view_tx_mcf7,npc_sig_id,npc_pert_dose,npc_max_dose_averaged_sig_id,view_tx_npc,hela_sig_id,hela_pert_dose,hela_max_dose_averaged_sig_id,view_tx_hela,hec108_sig_id,hec108_pert_dose,hec108_max_dose_averaged_sig_id,view_tx_hec108,thp1_sig_id,thp1_pert_dose,thp1_max_dose_averaged_sig_id,view_tx_thp1,ha1e_sig_id,ha1e_pert_dose,ha1e_max_dose_averaged_sig_id,view_tx_ha1e,ht29_sig_id,ht29_pert_dose,ht29_max_dose_averaged_sig_id,view_tx_ht29,hepg2_sig_id,hepg2_pert_dose,hepg2_max_dose_averaged_sig_id,view_tx_hepg2,a549_sig_id,a549_pert_dose,a549_max_dose_averaged_sig_id,view_tx_a549,hcc515_sig_id,hcc515_pert_dose,hcc515_max_dose_averaged_sig_id,view_tx_hcc515,yapc_sig_id,yapc_pert_dose,yapc_max_dose_averaged_sig_id,view_tx_yapc,pc3_sig_id,pc3_pert_dose,pc3_max_dose_averaged_sig_id,view_tx_pc3,vcap_sig_id,vcap_pert_dose,vcap_max_dose_averaged_sig_id,view_tx_vcap,a375_sig_id,a375_pert_dose,a375_max_dose_averaged_sig_id,view_tx_a375,asc_sig_id,asc_pert_dose,asc_max_dose_averaged_sig_id,view_tx_asc,huvec_sig_id,huvec_pert_dose,huvec_max_dose_averaged_sig_id,view_tx_huvec,pert_id,cmap_name,inchi_key,cv_dose,cv_moa,cv_sig_id,cv_target,disease.area,indication,phase,view_cv,node_id,node_name,primekg_ddi,view_kg,tx_target,tx_moa,drugbank_ddi,twosides_ddi,onsides_ddi
0,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,['CPD002_MCF7_24H:BRD-K18673820-001-11-4:10'],10.0,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1_MCF7_10.0,1,,,,0,['REP.A002_HELA_24H:O19'],10.0,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1_HELA_10.0,1,,,,0,,,,0,['REP.A002_HA1E_24H:O19'],10.0,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1_HA1E_10.0,1,,,,0,,,,0,,,,0,,,,0,,,,0,"['CPD002_PC3_24H:BRD-K18673820-001-11-4:10', 'REP.A002_PC3_24H:O19']",10.0,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1_PC3_10.0,1,,,,0,['REP.A002_A375_24H:O19'],10.0,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1_A375_10.0,1,,,,0,,,,0,{'BRD-K18673820'},{'folic-acid'},{'OVBPIULPVIDEAO-LBPRGKRZSA-N'},2.5,folate receptor ligand,BRD-K18673820-001-15-5::2.5::HTS,"FOLR2, FOLR3, SLC19A1, SLC46A1",hematology,megaloblastic anemia,Launched,1,DB00158,Folic acid,1,1,{'FOLR2'},{'Folate receptor ligand'},1,1,1
1,Cc1ncc(CO)c(CO)c1O,['CPD002_MCF7_24H:BRD-K14349461-003-09-9:10'],10.0,Cc1ncc(CO)c(CO)c1O_MCF7_10.0,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,['CPD002_PC3_24H:BRD-K14349461-003-09-9:10'],10.0,Cc1ncc(CO)c(CO)c1O_PC3_10.0,1,,,,0,,,,0,,,,0,,,,0,{'BRD-K14349461'},{'pyridoxine'},{'LXNHXLLTXMVWPM-UHFFFAOYSA-N'},2.5,vitamin B,BRD-K14349461-003-13-1::2.5::HTS,"DDC, PDXK",metabolism,vitamin B6 deficiency,Launched,1,DB00165,Pyridoxine,1,1,,,1,1,1
2,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,{'BRD-K62779383'},{'cholecalciferol'},set(),2.38,,BRD-K62779383-001-05-5::2.38::HTS,VDR,endocrinology,vitamin D deficiency,Launched,1,DB00169,Cholecalciferol,1,1,,,1,1,1
3,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,"['CPC015_MCF7_24H:BRD-K45158365-001-05-6:10', 'LKCP001_MCF7_24H:B04', 'REP.A019_MCF7_24H:C01']",10.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_MCF7_10.0,1,['ENR001_NPC_24H:I19'],10.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C_NPC_10.0,1,['REP.B019_HELA_24H:C01'],2.30769,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_HELA_2.30769,1,,,,0,['REP.A019_THP1_24H:C02'],3.33333,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_THP1_3.33333,1,['CPC003_HA1E_24H:BRD-K45158365-001-05-6:10'],10.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_HA1E_10.0,1,['REP.A019_HT29_24H:C02'],3.33333,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_HT29_3.33333,1,,,,0,"['CPC011_A549_24H:BRD-K45158365-001-07-2:10', 'CPC015_A549_24H:BRD-K45158365-001-05-6:10', 'LKCP001_A549_24H:B04']",10.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_A549_10.0,1,['CPC003_HCC515_24H:BRD-K45158365-001-05-6:10'],10.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_HCC515_10.0,1,['REP.A019_YAPC_24H:C01'],10.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_YAPC_10.0,1,"['CPC003_PC3_24H:BRD-K45158365-001-05-6:10', 'CPC011_PC3_24H:BRD-K45158365-001-07-2:10', 'MOAR007_PC3_24H:N19', 'REP.A019_PC3_24H:C01']",10.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_PC3_10.0,1,"['CPC003_VCAP_24H:BRD-K45158365-001-05-6:10', 'CPC011_VCAP_24H:BRD-K45158365-001-07-2:10']",10.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_VCAP_10.0,1,['MOAR007_A375_24H:N19'],10.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_A375_10.0,1,['CPC015_ASC_24H:BRD-K45158365-001-05-6:10'],10.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C_ASC_10.0,1,,,,0,"{'BRD-K45158365', 'BRD-A14792000'}",{'valsartan'},"{'ACWBQPMHZXGDFX-QFIPXVFZSA-N', 'ACWBQPMHZXGDFX-UHFFFAOYSA-N'}",2.5,angiotensin receptor antagonist,BRD-K45158365-001-11-4::2.5::HTS,AGTR1,cardiology,"hypertension, congestive heart failure",Launched,1,DB00177,Valsartan,1,1,{'AGTR1'},{'Angiotensin receptor antagonist'},1,1,1
4,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,['CPD002_MCF7_24H:BRD-K78712176-001-04-2:10'],10.0,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O_MCF7_10.0,1,['NMH001_NPC_24H:I14'],10.0,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O_NPC_10.0,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,['CPC009_A549_24H:BRD-A69512159-002-02-2:10'],10.0,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O_A549_10.0,1,,,,0,,,,0,['CPC009_PC3_24H:BRD-A69512159-002-02-2:10'],10.0,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O_PC3_10.0,1,,,,0,,,,0,,,,0,,,,0,"{'BRD-K78712176', 'BRD-A69512159'}",{'carbidopa'},"{'TZFNLOMSOLWIDK-JTQLQIEISA-N', 'TZFNLOMSOLWIDK-UHFFFAOYSA-N'}",,,,,,,,0,DB00190,Carbidopa,1,1,{'DDC'},{'Aromatic L-amino acid decarboxylase inhibitor'},1,1,1
5,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,['REP.B009_MCF7_24H:N07'],2.30769,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2_MCF7_2.30769,1,"['NMH002_FIBRNPC_24H:BRD-K33127281-001-02-3:10', 'NMH002_NPC_24H:BRD-K33127281-001-02-3:10']",10.0,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2_NPC_10.0,1,['REP.B009_HELA_24H:N07'],2.30769,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2_HELA_2.30769,1,,,,0,['REP.A009_THP1_24H:N07'],10.0,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2_THP1_10.0,1,['REP.B009_HA1E_24H:N08'],0.769231,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2_HA1E_0.769231,1,['REP.A009_HT29_24H:N07'],10.0,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2_HT29_10.0,1,,,,0,['REP.A009_A549_24H:N07'],10.0,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2_A549_10.0,1,,,,0,['REP.B009_YAPC_24H:N07'],2.30769,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2_YAPC_2.30769,1,,,,0,,,,0,,,,0,,,,0,['REP.A009_HUVEC.A_24H:N07'],10.0,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2_HUVEC_10.0,1,{'BRD-K33127281'},{'adapalene'},{'LZCDAPDGXCYOEH-UHFFFAOYSA-N'},2.5,retinoid receptor agonist,BRD-K33127281-001-05-6::2.5::HTS,"RARA, RARB, RARG, RXRA, RXRB, RXRG",dermatology,acne vulgaris (AV),Launched,1,DB00210,Adapalene,1,1,"{'RARG', 'RARB', 'RARA'}",{'Retinoid receptor agonist'},1,1,1
6,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,['CPD002_MCF7_24H:BRD-K71350836-001-01-6:10'],10.0,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O_MCF7_10.0,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,"['CPD002_PC3_24H:BRD-K71350836-001-01-6:10', 'MOAR007_PC3_24H:F01']",10.0,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O_PC3_10.0,1,,,,0,['MOAR007_A375_24H:F01'],10.0,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O_A375_10.0,1,,,,0,,,,0,{'BRD-K71350836'},{'butalbital'},{'UZVHFVZFNXBMQJ-UHFFFAOYSA-N'},2.5,GABA receptor antagonist,BRD-K71350836-001-02-4::2.5::HTS,"CHRNA4, CHRNA7, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIA2, GRIK2",neurology/psychiatry,"headache, muscle relaxant",Launched,1,DB00241,Butalbital,1,1,"{'GABRA5', 'GABRE', 'GABRP', 'GABRA4', 'GABRG2', 'GABRA2', 'GABRB2', 'GABRD', 'GABRB1', 'GABRA1', 'GABRA3', 'GABRG1', 'GABRQ', 'GABRA6', 'GABRG3', 'GABRB3'}",{'GABA receptor antagonist'},1,1,1
7,COCCc1ccc(OCC(O)CNC(C)C)cc1,"['CPC018_MCF7_24H:BRD-A03623303-045-05-3:10', 'REP.A011_MCF7_24H:A13']",10.0,COCCc1ccc(OCC(O)CNC(C)C)cc1_MCF7_10.0,1,['CPC018_NPC_24H:BRD-A03623303-045-05-3:10'],10.0,COCCc1ccc(OCC(O)CNC(C)C)cc1_NPC_10.0,1,['REP.B011_HELA_24H:A13'],2.30769,COCCc1ccc(OCC(O)CNC(C)C)cc1_HELA_2.30769,1,,,,0,['REP.A011_THP1_24H:A13'],10.0,COCCc1ccc(OCC(O)CNC(C)C)cc1_THP1_10.0,1,['CPC002_HA1E_24H:BRD-A03623303-045-05-3:10'],10.0,COCCc1ccc(OCC(O)CNC(C)C)cc1_HA1E_10.0,1,['REP.B011_HT29_24H:A13'],2.30769,COCCc1ccc(OCC(O)CNC(C)C)cc1_HT29_2.30769,1,,,,0,,,,0,['CPC002_HCC515_24H:BRD-A03623303-045-05-3:10'],10.0,COCCc1ccc(OCC(O)CNC(C)C)cc1_HCC515_10.0,1,['REP.B011_YAPC_24H:A14'],0.769231,COCCc1ccc(OCC(O)CNC(C)C)cc1_YAPC_0.769231,1,['CPC002_PC3_24H:BRD-A03623303-045-05-3:10'],10.0,COCCc1ccc(OCC(O)CNC(C)C)cc1_PC3_10.0,1,['CPC002_VCAP_24H:BRD-A03623303-045-05-3:10'],10.0,COCCc1ccc(OCC(O)CNC(C)C)cc1_VCAP_10.0,1,['REP.B011_A375_24H:A13'],2.30769,COCCc1ccc(OCC(O)CNC(C)C)cc1_A375_2.30769,1,,,,0,,,,0,"{'BRD-M45038741', 'BRD-A03623303'}",{'metoprolol'},"{'RAYDUSPLSJVROR-UHFFFAOYSA-N', 'IUBSYMUCCVWXPE-UHFFFAOYSA-N'}",2.5,adrenergic receptor antagonist,BRD-A03623303-045-09-5::2.5::HTS,"ADRB1, ADRB2",cardiology,"hypertension, angina pectoris, myocardial infarction",Launched,1,DB00264,Metoprolol,1,1,"{'ADRB2', 'ADRB1'}",{'Adrenergic receptor antagonist'},1,1,1
8,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,['CPC011_A549_24H:BRD-K83144676-001-04-6:10'],10.0,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1_A549_10.0,1,,,,0,,,,0,['CPC011_PC3_24H:BRD-K83144676-001-04-6:10'],10.0,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1_PC3_10.0,1,['CPC011_VCAP_24H:BRD-K83144676-001-04-6:10'],10.0,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1_VCAP_10.0,1,,,,0,,,,0,,,,0,{'BRD-K83144676'},{'olmesartan'},{'VTRAEEWXHOVJFV-UHFFFAOYSA-N'},2.5,angiotensin receptor antagonist,BRD-K83144676-001-09-5::2.5::MTS004,AGTR1,cardiology,hypertension,Launched,1,DB00275,Olmesartan,1,1,,,1,1,1
9,CCN(CC)CC(=O)Nc1c(C)cccc1C,"['CPC015_MCF7_24H:BRD-K52662033-003-14-7:10', 'CPD001_MCF7_24H:BRD-K52662033-003-17-0:10', 'REP.A016_MCF7_24H:F13']",10.0,CCN(CC)CC(=O)Nc1c(C)cccc1C_MCF7_10.0,1,['CPC015_NPC_24H:BRD-K52662033-003-14-7:10'],10.0,CCN(CC)CC(=O)Nc1c(C)cccc1C_NPC_10.0,1,['REP.A016_HELA_24H:F13'],10.0,CCN(CC)CC(=O)Nc1c(C)cccc1C_HELA_10.0,1,,,,0,['REP.B016_THP1_24H:F13'],2.30769,CCN(CC)CC(=O)Nc1c(C)cccc1C_THP1_2.30769,1,"['CPC003_HA1E_24H:BRD-K52662033-003-14-7:10', 'REP.A016_HA1E_24H:F13']",10.0,CCN(CC)CC(=O)Nc1c(C)cccc1C_HA1E_10.0,1,['REP.A016_HT29_24H:F13'],10.0,CCN(CC)CC(=O)Nc1c(C)cccc1C_HT29_10.0,1,,,,0,"['CPC011_A549_24H:BRD-K52662033-001-15-8:10', 'REP.A016_A549_24H:F13']",10.0,CCN(CC)CC(=O)Nc1c(C)cccc1C_A549_10.0,1,['CPC003_HCC515_24H:BRD-K52662033-003-14-7:10'],10.0,CCN(CC)CC(=O)Nc1c(C)cccc1C_HCC515_10.0,1,['REP.A016_YAPC_24H:F13'],10.0,CCN(CC)CC(=O)Nc1c(C)cccc1C_YAPC_10.0,1,"['CPC003_PC3_24H:BRD-K52662033-003-14-7:10', 'CPC011_PC3_24H:BRD-K52662033-001-15-8:10', 'CPD001_PC3_24H:BRD-K52662033-003-17-0:10', 'REP.A016_PC3_24H:F13']",10.0,CCN(CC)CC(=O)Nc1c(C)cccc1C_PC3_10.0,1,"['CPC003_VCAP_24H:BRD-K52662033-003-14-7:10', 'CPC011_VCAP_24H:BRD-K52662033-001-15-8:10']",10.0,CCN(CC)CC(=O)Nc1c(C)cccc1C_VCAP_10.0,1,['REP.A016_A375_24H:F13'],10.0,CCN(CC)CC(=O)Nc1c(C)cccc1C_A375_10.0,1,,,,0,,,,0,{'BRD-K52662033'},{'lidocaine'},{'NNJVILVZKWQKPM-UHFFFAOYSA-N'},2.5,histamine receptor agonist,BRD-K52662033-003-21-2::2.5::HTS,"EGFR, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A","neurology/psychiatry, dermatology, hematology","itching, eczema, hemorrhage",Launched,1,DB00281,Lidocaine,1,1,"{'SCN5A', 'SCN9A', 'SCN10A'}",{'Histamine receptor agonist'},1,1,1
